Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
SLX-14347.D701_D504.HVFCGBBXX.s_3.r_1	341535750	2065464	57640	6830715	0.896980184358	338472242
SLX-14347.D701_D504.HVFCGBBXX.s_4.r_1	349631250	2116965	68408	6992625	0.900101750058	346484213
SLX-14347.D701_D505.HVFCGBBXX.s_3.r_1	539407200	3418182	86812	10788144	0.900225469738	534551319
SLX-14347.D701_D505.HVFCGBBXX.s_4.r_1	553511000	3506830	103850	11070220	0.90281530087	548513818
SLX-14347.D701_D506.HVFCGBBXX.s_3.r_1	577793100	3596223	97364	11555862	0.907886923537	572547392
SLX-14347.D701_D506.HVFCGBBXX.s_4.r_1	593430050	3692674	113159	11868601	0.910033962722	588029635
SLX-14347.D701_D507.HVFCGBBXX.s_3.r_1	547524650	3442380	91818	10950493	0.920158389216	542486556
SLX-14347.D701_D507.HVFCGBBXX.s_4.r_1	560787850	3523400	109489	11215757	0.922567598424	555614203
SLX-14347.D702_D504.HVFCGBBXX.s_3.r_1	336189350	2039949	53536	6723787	0.895466795721	333178886
SLX-14347.D702_D504.HVFCGBBXX.s_4.r_1	344849850	2090348	64817	6896997	0.898171479558	341752507
SLX-14347.D702_D505.HVFCGBBXX.s_3.r_1	465693250	2969834	73294	9313865	0.913396747752	461439623
SLX-14347.D702_D505.HVFCGBBXX.s_4.r_1	479585550	3053576	89644	9591711	0.914183715502	475201257
SLX-14347.D702_D506.HVFCGBBXX.s_3.r_1	560303800	3530630	86483	11206076	0.899327828939	555264832
SLX-14347.D702_D506.HVFCGBBXX.s_4.r_1	577756100	3640777	103552	11555122	0.902167194773	572543774
SLX-14347.D703_D504.HVFCGBBXX.s_3.r_1	495219000	3113707	77336	9904380	0.917603121043	490674855
SLX-14347.D703_D504.HVFCGBBXX.s_4.r_1	510789750	3211497	94754	10215795	0.919533330495	506092868
SLX-14347.D703_D505.HVFCGBBXX.s_3.r_1	549336050	3429816	87157	10986721	0.894891387521	544420089
SLX-14347.D703_D505.HVFCGBBXX.s_4.r_1	568385850	3547440	107339	11367717	0.897213926068	563286213
SLX-14347.D703_D506.HVFCGBBXX.s_3.r_1	399019450	2431141	58552	7980389	0.884374934605	395490622
SLX-14347.D703_D506.HVFCGBBXX.s_4.r_1	412302900	2511856	72408	8246058	0.885546281629	408651767
SLX-14347.D704_D504.HVFCGBBXX.s_3.r_1	638961950	3865325	94040	12779239	0.882750373477	633321511
SLX-14347.D704_D504.HVFCGBBXX.s_4.r_1	656002600	3961029	113559	13120052	0.88442926903	650200721
SLX-14347.D704_D505.HVFCGBBXX.s_3.r_1	562879150	3533102	93494	11257583	0.89639294687	557833541
