Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Sheep counts	Sheep percentage	FruitFly counts	FruitFly percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	No hits counts	No hits percentage
SLX-14347.D701_D504.HVFCGBBXX.s_3.r_1_screen	19326	19.24	100452	13169	13.11	90260	89.86	2093	2.08	3	0.0	0	0.0	0	0.0	7483	7.45
SLX-14347.D701_D504.HVFCGBBXX.s_4.r_1_screen	19407	19.43	99895	13184	13.2	89895	89.99	1970	1.98	3	0.0	0	0.0	0	0.0	7322	7.33
SLX-14347.D701_D505.HVFCGBBXX.s_3.r_1_screen	27715	27.75	99891	20986	21.01	91557	91.67	4087	4.09	1	0.0	0	0.0	0	0.0	3815	3.82
SLX-14347.D701_D505.HVFCGBBXX.s_4.r_1_screen	27648	27.72	99732	21110	21.17	91573	91.82	4123	4.13	0	0.0	0	0.0	0	0.0	3690	3.7
SLX-14347.D701_D506.HVFCGBBXX.s_3.r_1_screen	23672	23.76	99620	17162	17.23	90585	90.94	2980	2.99	0	0.0	1	0.0	0	0.0	5708	5.73
SLX-14347.D701_D506.HVFCGBBXX.s_4.r_1_screen	23935	23.99	99737	17183	17.23	90715	90.95	3009	3.02	3	0.0	2	0.0	0	0.0	5655	5.67
SLX-14347.D701_D507.HVFCGBBXX.s_3.r_1_screen	10581	10.63	99550	5139	5.16	91518	91.93	275	0.28	2	0.0	0	0.0	0	0.0	7615	7.65
SLX-14347.D701_D507.HVFCGBBXX.s_4.r_1_screen	10599	10.59	100141	5060	5.06	91988	91.87	280	0.27	1	0.0	0	0.0	0	0.0	7750	7.74
SLX-14347.D702_D504.HVFCGBBXX.s_3.r_1_screen	20966	20.89	100356	14429	14.38	90857	90.53	2352	2.35	0	0.0	0	0.0	0	0.0	6573	6.55
SLX-14347.D702_D505.HVFCGBBXX.s_4.r_1_screen	18045	18.06	99914	11919	11.93	93018	93.09	1928	1.93	0	0.0	0	0.0	0	0.0	4636	4.64
SLX-14347.D702_D506.HVFCGBBXX.s_3.r_1_screen	30317	30.3	100055	23275	23.26	90814	90.76	4616	4.62	1	0.0	1	0.0	0	0.0	4032	4.03
SLX-14347.D702_D506.HVFCGBBXX.s_4.r_1_screen	30127	30.25	99614	23191	23.28	90726	91.08	4555	4.57	1	0.0	1	0.0	0	0.0	3865	3.88
SLX-14347.D703_D504.HVFCGBBXX.s_3.r_1_screen	15846	15.83	100045	9759	9.76	92279	92.24	1285	1.28	3	0.0	0	0.0	0	0.0	6122	6.12
SLX-14347.D703_D504.HVFCGBBXX.s_4.r_1_screen	15892	15.87	100155	9827	9.81	92523	92.39	1325	1.32	1	0.0	0	0.0	0	0.0	5949	5.94
SLX-14347.D703_D505.HVFCGBBXX.s_3.r_1_screen	31037	31.08	99880	24120	24.15	89370	89.48	4945	4.95	4	0.0	1	0.0	0	0.0	5123	5.13
SLX-14347.D703_D505.HVFCGBBXX.s_4.r_1_screen	30794	30.88	99717	23907	23.98	89550	89.81	4897	4.9	2	0.0	1	0.0	0	0.0	5105	5.12
SLX-14347.D703_D506.HVFCGBBXX.s_3.r_1_screen	29042	29.12	99755	22319	22.38	88738	88.96	4154	4.16	1	0.0	0	0.0	0	0.0	5895	5.91
SLX-14347.D703_D506.HVFCGBBXX.s_4.r_1_screen	29033	28.88	100562	22360	22.24	89562	89.06	4275	4.24	0	0.0	1	0.0	0	0.0	5892	5.86
SLX-14347.D704_D504.HVFCGBBXX.s_3.r_1_screen	34464	34.52	99838	27240	27.29	87260	87.39	5466	5.48	0	0.0	1	0.0	0	0.0	6379	6.39
SLX-14347.D704_D504.HVFCGBBXX.s_4.r_1_screen	34620	34.57	100154	27323	27.28	87661	87.52	5606	5.59	0	0.0	0	0.0	0	0.0	6259	6.25
SLX-14347.D704_D505.HVFCGBBXX.s_3.r_1_screen	21252	21.33	99625	14426	14.48	91521	91.87	2372	2.38	2	0.0	1	0.0	0	0.0	5190	5.21
SLX-14347.D704_D505.HVFCGBBXX.s_4.r_1_screen	21385	21.32	100303	14655	14.61	92457	92.18	2379	2.37	0	0.0	0	0.0	0	0.0	4995	4.98
SLX-14347.D704_D506.HVFCGBBXX.s_3.r_1_screen	25488	25.47	100081	19466	19.45	91094	91.02	3682	3.67	1	0.0	1	0.0	0	0.0	4643	4.64
SLX-14347.D704_D506.HVFCGBBXX.s_4.r_1_screen	25390	25.29	100395	19356	19.28	91463	91.1	3750	3.73	0	0.0	0	0.0	0	0.0	4698	4.68
SLX-14347.D705_D504.HVFCGBBXX.s_3.r_1_screen	25702	25.65	100203	18777	18.74	91079	90.9	3429	3.42	2	0.0	1	0.0	0	0.0	5130	5.12
SLX-14347.D705_D504.HVFCGBBXX.s_4.r_1_screen	25605	25.63	99920	18734	18.74	90999	91.07	3416	3.42	0	0.0	1	0.0	0	0.0	4986	4.99
SLX-14347.D705_D505.HVFCGBBXX.s_3.r_1_screen	35079	34.99	100254	28122	28.05	87953	87.74	5910	5.89	0	0.0	1	0.0	0	0.0	6165	6.15
SLX-14347.D705_D505.HVFCGBBXX.s_4.r_1_screen	34695	34.72	99922	27874	27.89	87665	87.74	5773	5.78	0	0.0	1	0.0	0	0.0	6215	6.22
SLX-14347.D705_D506.HVFCGBBXX.s_3.r_1_screen	23140	23.17	99863	17262	17.28	87563	87.68	2910	2.91	2	0.0	0	0.0	0	0.0	8388	8.4
SLX-14347.D705_D506.HVFCGBBXX.s_4.r_1_screen	23294	23.15	100605	17182	17.07	88247	87.72	2860	2.85	1	0.0	1	0.0	0	0.0	8501	8.45
SLX-14347.D706_D504.HVFCGBBXX.s_3.r_1_screen	38541	38.48	100162	31305	31.25	88995	88.86	6485	6.48	1	0.0	0	0.0	0	0.0	4136	4.13
SLX-14347.D706_D504.HVFCGBBXX.s_4.r_1_screen	38523	38.61	99756	31150	31.23	88667	88.89	6565	6.58	1	0.0	0	0.0	0	0.0	4060	4.07
SLX-14347.D706_D505.HVFCGBBXX.s_3.r_1_screen	47442	47.59	99684	40983	41.11	86396	86.66	9479	9.51	0	0.0	1	0.0	0	0.0	4376	4.39
SLX-14347.D706_D505.HVFCGBBXX.s_4.r_1_screen	47651	47.76	99771	41043	41.14	86838	87.03	9478	9.5	0	0.0	0	0.0	0	0.0	4170	4.18
SLX-14347.D706_D506.HVFCGBBXX.s_3.r_1_screen	39456	39.26	100496	32574	32.41	86503	86.09	6660	6.62	3	0.0	0	0.0	0	0.0	5919	5.89
SLX-14347.D706_D506.HVFCGBBXX.s_4.r_1_screen	39177	39.28	99743	32334	32.42	86026	86.24	6728	6.74	4	0.0	1	0.0	0	0.0	5675	5.69
SLX-14347.D707_D504.HVFCGBBXX.s_3.r_1_screen	25792	25.84	99810	18588	18.62	90166	90.34	3130	3.14	1	0.0	1	0.0	0	0.0	5699	5.71
SLX-14347.D707_D504.HVFCGBBXX.s_4.r_1_screen	25833	25.85	99889	18237	18.27	90591	90.7	3082	3.08	2	0.0	0	0.0	0	0.0	5573	5.58
SLX-14347.D707_D505.HVFCGBBXX.s_3.r_1_screen	19961	20.06	99484	14275	14.35	85930	86.37	2431	2.44	6	0.01	0	0.0	0	0.0	10525	10.58
SLX-14347.D707_D505.HVFCGBBXX.s_4.r_1_screen	20025	20.12	99474	14273	14.35	85951	86.41	2455	2.47	1	0.0	0	0.0	0	0.0	10554	10.61
SLX-14347.D707_D506.HVFCGBBXX.s_3.r_1_screen	29152	29.04	100361	22804	22.72	90720	90.4	4476	4.46	0	0.0	0	0.0	0	0.0	4536	4.52
SLX-14347.D707_D506.HVFCGBBXX.s_4.r_1_screen	29360	29.35	99994	23081	23.08	90546	90.55	4723	4.72	1	0.0	0	0.0	0	0.0	4369	4.37
SLX-14347.D708_D504.HVFCGBBXX.s_3.r_1_screen	26518	26.51	100015	19681	19.68	90546	90.53	3691	3.69	3	0.0	0	0.0	0	0.0	5060	5.06
SLX-14347.D708_D504.HVFCGBBXX.s_4.r_1_screen	26998	26.95	100170	20030	19.99	90742	90.59	3798	3.8	2	0.0	0	0.0	0	0.0	5068	5.06
SLX-14347.D708_D505.HVFCGBBXX.s_3.r_1_screen	21441	21.47	99843	15152	15.17	90109	90.26	2720	2.72	2	0.0	1	0.0	0	0.0	6709	6.72
SLX-14347.D708_D505.HVFCGBBXX.s_4.r_1_screen	21509	21.61	99525	15261	15.34	89799	90.23	2803	2.81	1	0.0	0	0.0	0	0.0	6668	6.7
SLX-14347.D708_D506.HVFCGBBXX.s_3.r_1_screen	25220	25.3	99654	19173	19.23	82961	83.25	3316	3.33	7	0.01	1	0.0	0	0.0	12097	12.14
SLX-14347.D708_D506.HVFCGBBXX.s_4.r_1_screen	25065	25.24	99306	19036	19.17	82844	83.43	3217	3.23	7	0.01	0	0.0	0	0.0	11956	12.04
SLX-14347.D709_D504.HVFCGBBXX.s_3.r_1_screen	18373	18.45	99612	11408	11.45	93569	93.93	1574	1.58	1	0.0	0	0.0	0	0.0	4213	4.23
SLX-14347.D709_D504.HVFCGBBXX.s_4.r_1_screen	18367	18.35	100037	11529	11.52	93990	93.95	1663	1.65	3	0.0	1	0.0	0	0.0	4131	4.13
SLX-14347.D709_D505.HVFCGBBXX.s_3.r_1_screen	40691	40.65	100111	33572	33.54	88210	88.12	7398	7.39	0	0.0	0	0.0	0	0.0	4184	4.18
SLX-14347.D709_D505.HVFCGBBXX.s_4.r_1_screen	40554	40.6	99879	33480	33.52	88182	88.29	7317	7.33	1	0.0	0	0.0	0	0.0	4065	4.07
SLX-14347.D709_D506.HVFCGBBXX.s_3.r_1_screen	18351	18.31	100239	13213	13.19	91250	91.03	2164	2.15	4	0.0	1	0.0	0	0.0	5914	5.9
SLX-14347.D709_D506.HVFCGBBXX.s_4.r_1_screen	18118	18.17	99764	12991	13.03	91228	91.45	2193	2.2	4	0.0	0	0.0	0	0.0	5716	5.73
SLX-14347.D710_D504.HVFCGBBXX.s_3.r_1_screen	22450	22.44	100060	15802	15.79	92810	92.76	2775	2.77	0	0.0	1	0.0	0	0.0	4182	4.18
SLX-14347.D710_D504.HVFCGBBXX.s_4.r_1_screen	22537	22.61	99697	15629	15.68	92714	92.99	2749	2.75	0	0.0	1	0.0	0	0.0	3967	3.98
SLX-14347.D710_D505.HVFCGBBXX.s_3.r_1_screen	33145	33.26	99640	25823	25.92	89871	90.19	5357	5.37	0	0.0	1	0.0	0	0.0	4204	4.22
