Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SLX-14347.D701_D504.HVFCGBBXX.s_3.r_1	pass	0.0	fail	49.5666662273	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	6828540.0	pass	fail	fail	50.0	37.5489671964	SLX-14347.D701_D504.HVFCGBBXX.s_3.r_1_trimmed.fq.gz	fail	pass
SLX-14347.D701_D504.HVFCGBBXX.s_4.r_1	pass	0.0	fail	49.5653663606	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	6990354.0	pass	fail	fail	50.0	35.2646776422	SLX-14347.D701_D504.HVFCGBBXX.s_4.r_1_trimmed.fq.gz	fail	pass
SLX-14347.D701_D505.HVFCGBBXX.s_3.r_1	pass	0.0	fail	49.5547635132	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	10786881.0	pass	fail	warn	49.0	30.4338507345	SLX-14347.D701_D505.HVFCGBBXX.s_3.r_1_trimmed.fq.gz	fail	pass
SLX-14347.D701_D505.HVFCGBBXX.s_4.r_1	pass	0.0	fail	49.5537833456	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	11068854.0	pass	fail	warn	49.0	28.486002472	SLX-14347.D701_D505.HVFCGBBXX.s_4.r_1_trimmed.fq.gz	fail	pass
SLX-14347.D701_D506.HVFCGBBXX.s_3.r_1	pass	0.0	fail	49.5568440326	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	11553174.0	pass	fail	fail	50.0	32.7923355743	SLX-14347.D701_D506.HVFCGBBXX.s_3.r_1_trimmed.fq.gz	fail	pass
SLX-14347.D701_D506.HVFCGBBXX.s_4.r_1	pass	0.0	fail	49.555999222	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	11865772.0	pass	fail	fail	50.0	30.8158822231	SLX-14347.D701_D506.HVFCGBBXX.s_4.r_1_trimmed.fq.gz	fail	pass
SLX-14347.D701_D507.HVFCGBBXX.s_3.r_1	pass	0.0	fail	49.5531248538	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	10947456.0	pass	fail	fail	48.0	33.6715078306	SLX-14347.D701_D507.HVFCGBBXX.s_3.r_1_trimmed.fq.gz	fail	pass
SLX-14347.D701_D507.HVFCGBBXX.s_4.r_1	pass	0.0	fail	49.5526080408	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	11212497.0	pass	fail	fail	48.0	31.7598002705	SLX-14347.D701_D507.HVFCGBBXX.s_4.r_1_trimmed.fq.gz	fail	pass
SLX-14347.D702_D504.HVFCGBBXX.s_3.r_1	pass	0.0	fail	49.5676589428	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	6721617.0	pass	fail	fail	50.0	36.5471104407	SLX-14347.D702_D504.HVFCGBBXX.s_3.r_1_trimmed.fq.gz	fail	pass
SLX-14347.D702_D504.HVFCGBBXX.s_4.r_1	pass	0.0	fail	49.5666586654	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	6894715.0	pass	fail	fail	50.0	34.2521115062	SLX-14347.D702_D504.HVFCGBBXX.s_4.r_1_trimmed.fq.gz	fail	pass
