Sample	Unassigned_Ambiguity	Unassigned_MappingQuality	percent_assigned	Unassigned_Nonjunction	Unassigned_Duplicate	Unassigned_Chimera	Unassigned_Unmapped	Assigned	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NoFeatures	Unassigned_FragmentLength	Total
SLX-14347.D701_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	40447	0	19.624893786	0	0	0	0	2149076	6546632	0	2214610	0	10950765
SLX-14347.D701_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	40827	0	19.5966159729	0	0	0	0	2195452	6703602	0	2263339	0	11203220
SLX-14347.D701_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	56260	0	15.8316174533	0	0	0	0	2974633	11909926	0	3848373	0	18789192
SLX-14347.D701_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	58019	0	15.8164974695	0	0	0	0	3052454	12241369	0	3947336	0	19299178
SLX-14347.D701_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	65950	0	18.6830745206	0	0	0	0	3462852	10911389	0	4094510	0	18534701
SLX-14347.D701_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	68152	0	18.6481472051	0	0	0	0	3552045	11231793	0	4195720	0	19047710
SLX-14347.D701_D507.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	68190	0	16.9377548195	0	0	0	0	3312514	13201933	0	2974347	0	19556984
SLX-14347.D701_D507.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	69738	0	16.9137251444	0	0	0	0	3385858	13517397	0	3045412	0	20018405
SLX-14347.D702_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	37697	0	19.331351118	0	0	0	0	2111589	6570827	0	2203019	0	10923132
SLX-14347.D702_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	39018	0	19.2415336678	0	0	0	0	2158349	6760096	0	2259673	0	11217136
SLX-14347.D702_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	55844	0	16.8179773829	0	0	0	0	2862466	11478069	0	2623896	0	17020275
SLX-14347.D702_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	57814	0	16.8106429563	0	0	0	0	2947932	11832197	0	2698162	0	17536105
SLX-14347.D702_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	57876	0	16.7521488015	0	0	0	0	3087155	11056040	0	4227341	0	18428412
SLX-14347.D702_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	60158	0	16.7091025995	0	0	0	0	3180310	11438983	0	4353947	0	19033398
SLX-14347.D703_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	62308	0	21.6665167285	0	0	0	0	3465664	9395240	0	3072271	0	15995483
SLX-14347.D703_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	64696	0	21.6700246522	0	0	0	0	3572644	9682572	0	3166659	0	16486571
SLX-14347.D703_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	58495	0	18.6328415156	0	0	0	0	3229399	10006246	0	4037618	0	17331758
SLX-14347.D703_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	61151	0	18.6014160913	0	0	0	0	3336427	10362888	0	4175948	0	17936414
SLX-14347.D703_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	249384	0	17.7079443102	0	0	0	0	2233276	7334629	0	2794429	0	12611718
SLX-14347.D703_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	255502	0	17.6951870338	0	0	0	0	2309126	7605154	0	2879676	0	13049458
SLX-14347.D704_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	60956	0	19.203241644	0	0	0	0	3696716	10571153	0	4921654	0	19250479
SLX-14347.D704_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	62606	0	19.2335849004	0	0	0	0	3798774	10842579	0	5046774	0	19750733
SLX-14347.D704_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	68823	0	19.8586427135	0	0	0	0	3762060	11692732	0	3420580	0	18944195
SLX-14347.D704_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	70788	0	19.8450818639	0	0	0	0	3886260	12094445	0	3531495	0	19582988
SLX-14347.D704_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	35152	0	14.3876047051	0	0	0	0	1850029	8445516	0	2527795	0	12858492
SLX-14347.D704_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	36230	0	14.3572275959	0	0	0	0	1903176	8712051	0	2604417	0	13255874
