Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-avg_sequence_length	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_gc	STAR_mqc-generalstats-uniquely_mapped_percent	STAR_mqc-generalstats-uniquely_mapped	QualiMap_mqc-generalstats-reads_aligned	featureCounts_mqc-generalstats-Assigned	featureCounts_mqc-generalstats-percent_assigned	QualiMap_mqc-generalstats-5_3_bias
SLX-14347.D701_D504.HVFCGBBXX.s_3.r_1	41.6666666667	62.4510328036	6828540.0	49.5666662273	0.896980184358	50.0						
SLX-14347.D701_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							64.5	4404133.0				
SLX-14347.D701_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									6332219.0	2149076	19.624893786	1.27
SLX-14347.D701_D504.HVFCGBBXX.s_4.r_1	41.6666666667	64.7353223578	6990354.0	49.5653663606	0.900101750058	50.0						
SLX-14347.D701_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							64.37	4499618.0				
SLX-14347.D701_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									6476112.0	2195452	19.5966159729	1.45
SLX-14347.D701_D505.HVFCGBBXX.s_3.r_1	33.3333333333	69.5661492655	10786881.0	49.5547635132	0.900225469738	49.0						
SLX-14347.D701_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							63.77	6879266.0				
SLX-14347.D701_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									10296931.0	2974633	15.8316174533	1.3
SLX-14347.D701_D505.HVFCGBBXX.s_4.r_1	33.3333333333	71.513997528	11068854.0	49.5537833456	0.90281530087	49.0						
SLX-14347.D701_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							63.76	7057809.0				
SLX-14347.D701_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									10568166.0	3052454	15.8164974695	1.37
SLX-14347.D701_D506.HVFCGBBXX.s_3.r_1	41.6666666667	67.2076644257	11553174.0	49.5568440326	0.907886923537	50.0						
SLX-14347.D701_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							65.98	7623312.0				
