Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SLX-14347.D701_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	64.5	269744.0	1634.0	1.45	1.69	5.99	49.08	0.01	0.49	49.0	93.0	0.0	266316.0	4404133.0	73511.0	0	0.0	6828540.0	13661	0.0	0.2	28.24	1928086.0	1701.0	409149	1.08
SLX-14347.D701_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	64.37	276516.0	1641.0	1.46	1.66	6.08	49.1	0.01	0.48	49.0	123.0	0.0	273051.0	4499618.0	75525.0	0	0.0	6990354.0	13972	0.0	0.2	28.27	1976494.0	1701.0	424745	1.08
SLX-14347.D701_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	63.77	362782.0	2342.0	1.45	1.64	3.26	49.09	0.01	0.64	49.0	167.0	0.0	358002.0	6879266.0	112865.0	0	0.0	10786881.0	24851	0.0	0.23	31.68	3417665.0	2271.0	352234	1.05
SLX-14347.D701_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	63.76	371947.0	2147.0	1.46	1.64	3.23	49.11	0.01	0.63	49.0	155.0	0.0	367325.0	7057809.0	116490.0	0	0.0	11068854.0	26573	0.0	0.24	31.71	3510357.0	2320.0	357625	1.05
SLX-14347.D701_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.98	438638.0	2636.0	1.49	1.71	4.74	49.09	0.01	0.55	49.0	166.0	0.0	433191.0	7623312.0	175638.0	0	0.0	11553174.0	26593	0.0	0.23	27.52	3179590.0	2645.0	548041	1.52
SLX-14347.D701_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.87	449338.0	2611.0	1.48	1.7	4.79	49.11	0.01	0.54	49.0	172.0	0.0	443998.0	7815917.0	180984.0	0	0.0	11865772.0	27328	0.0	0.23	27.58	3272414.0	2557.0	569129	1.53
SLX-14347.D701_D507.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	58.05	415407.0	2347.0	1.47	1.72	5.47	49.11	0.01	0.33	49.0	191.0	0.0	410451.0	6355051.0	149941.0	0	0.0	10947456.0	28488	0.01	0.26	34.84	3814628.0	2418.0	599348	1.37
SLX-14347.D701_D507.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	57.98	425982.0	2417.0	1.47	1.69	5.57	49.12	0.01	0.32	49.0	163.0	0.0	421011.0	6501008.0	153096.0	0	0.0	11212497.0	29166	0.01	0.26	34.82	3904399.0	2391.0	624828	1.37
SLX-14347.D702_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	64.75	265719.0	1601.0	1.47	1.72	5.25	49.08	0.01	0.52	49.0	89.0	0.0	262271.0	4352305.0	85496.0	0	0.0	6721617.0	14791	0.0	0.22	28.51	1916059.0	1758.0	352966	1.27
SLX-14347.D702_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	64.64	273750.0	1666.0	1.51	1.74	5.3	49.1	0.01	0.51	49.0	79.0	0.0	270187.0	4457040.0	87820.0	0	0.0	6894715.0	15169	0.0	0.22	28.56	1969259.0	1818.0	365427	1.27
SLX-14347.D702_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	59.51	362431.0	2154.0	1.46	1.67	3.35	49.09	0.01	0.46	49.0	144.0	0.0	357922.0	5542206.0	117892.0	0	0.0	9312669.0	16735	0.0	0.18	35.7	3324388.0	2211.0	311448	1.27
SLX-14347.D702_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	59.47	374491.0	2193.0	1.47	1.68	3.35	49.11	0.01	0.46	49.0	173.0	0.0	369867.0	5703908.0	121478.0	0	0.0	9590459.0	17287	0.0	0.18	35.72	3426057.0	2258.0	321729	1.27
SLX-14347.D702_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.8	375642.0	2259.0	1.54	1.64	3.8	49.1	0.01	0.67	49.0	140.0	0.0	370849.0	7372372.0	144682.0	0	0.0	11204478.0	26852	0.01	0.24	28.88	3235419.0	2394.0	425153	1.29
SLX-14347.D702_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.73	386683.0	2255.0	1.54	1.63	3.79	49.12	0.01	0.67	49.0	185.0	0.0	381721.0	7594415.0	149024.0	0	0.0	11553366.0	27729	0.01	0.24	28.95	3344315.0	2522.0	437883	1.29
SLX-14347.D703_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	66.65	461176.0	2911.0	1.48	1.7	4.08	49.07	0.01	0.41	49.0	201.0	0.0	455359.0	6600243.0	126614.0	0	0.0	9902793.0	21779	0.0	0.22	27.77	2750262.0	2705.0	403895	1.28
SLX-14347.D703_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	66.61	474727.0	3128.0	1.47	1.69	4.13	49.09	0.01	0.41	49.0	177.0	0.0	468663.0	6803999.0	131057.0	0	0.0	10214150.0	22502	0.0	0.22	27.75	2834167.0	2759.0	422425	1.28
SLX-14347.D703_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	66.69	408909.0	2507.0	1.29	1.63	4.71	49.08	0.01	0.68	49.0	151.0	0.0	403975.0	7325512.0	137250.0	0	0.0	10984856.0	23104	0.01	0.21	27.14	2980804.0	2276.0	518186	1.25
SLX-14347.D703_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	66.63	425337.0	2485.0	1.31	1.59	4.75	49.1	0.01	0.67	49.0	191.0	0.0	420469.0	7573526.0	142556.0	0	0.0	11365730.0	25021	0.01	0.22	27.14	3084403.0	2192.0	540224	1.25
SLX-14347.D703_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	66.14	285255.0	1408.0	1.51	1.65	5.53	49.04	0.01	0.68	49.0	96.0	0.0	282281.0	5277089.0	75758.0	0	0.0	7978384.0	16749	0.0	0.21	27.17	2167741.0	1470.0	441047	0.95
SLX-14347.D703_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	66.04	295705.0	1360.0	1.49	1.65	5.56	49.06	0.01	0.68	49.0	92.0	0.0	292792.0	5444304.0	78500.0	0	0.0	8244027.0	17326	0.0	0.21	27.23	2245175.0	1461.0	458722	0.95
SLX-14347.D704_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	67.93	473509.0	2927.0	1.5	1.67	6.05	49.06	0.01	0.75	49.0	171.0	0.0	467636.0	8679326.0	165481.0	0	0.0	12776865.0	30677	0.0	0.24	24.48	3128055.0	2775.0	773326	1.3
SLX-14347.D704_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	67.91	487395.0	2981.0	1.47	1.7	6.09	49.08	0.01	0.75	49.0	198.0	0.0	481423.0	8908154.0	170645.0	0	0.0	13117511.0	31499	0.0	0.24	24.46	3207933.0	2793.0	799280	1.3
SLX-14347.D704_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	64.42	503255.0	2949.0	1.5	1.66	3.72	49.07	0.01	0.51	49.0	180.0	0.0	496985.0	7251463.0	157312.0	0	0.0	11256426.0	19152	0.0	0.17	30.29	3409406.0	3141.0	419093	1.4
SLX-14347.D704_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	64.37	520170.0	3017.0	1.5	1.66	3.74	49.08	0.01	0.51	49.0	209.0	0.0	513837.0	7488543.0	163208.0	0	0.0	11633785.0	20903	0.0	0.18	30.32	3526822.0	3107.0	434309	1.4
SLX-14347.D704_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	60.41	204220.0	1452.0	1.32	1.66	4.33	49.11	0.01	0.64	49.0	100.0	0.0	201173.0	4412976.0	61740.0	0	0.0	7304477.0	16831	0.01	0.23	34.17	2496078.0	1495.0	316852	0.85
SLX-14347.D704_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	60.36	210503.0	1423.0	1.32	1.68	4.37	49.13	0.01	0.64	49.0	104.0	0.0	207567.0	4543823.0	63167.0	0	0.0	7528144.0	18052	0.01	0.24	34.2	2574410.0	1409.0	328692	0.84
SLX-14347.D705_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	66.62	416496.0	2549.0	1.48	1.7	4.15	49.07	0.01	0.57	49.0	199.0	0.0	411653.0	6274593.0	145448.0	0	0.0	9417816.0	19793	0.0	0.21	27.47	2586834.0	2095.0	391148	1.54
SLX-14347.D705_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	66.58	426317.0	2643.0	1.46	1.71	4.14	49.08	0.01	0.56	49.0	161.0	0.0	421336.0	6385690.0	149182.0	0	0.0	9590986.0	21099	0.0	0.22	27.5	2637972.0	2177.0	397043	1.56
SLX-14347.D705_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.31	256523.0	1416.0	1.49	1.63	6.27	49.09	0.01	0.75	49.0	112.0	0.0	253759.0	5105889.0	98147.0	0	0.0	7818441.0	17991	0.0	0.23	26.94	2105960.0	1236.0	490454	1.26
SLX-14347.D705_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.18	260595.0	1554.0	1.49	1.64	6.33	49.1	0.01	0.75	49.0	118.0	0.0	257629.0	5209522.0	100488.0	0	0.0	7992224.0	18380	0.0	0.23	27.0	2157993.0	1294.0	505841	1.26
SLX-14347.D705_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.92	248558.0	1637.0	1.51	1.69	7.56	49.09	0.01	0.59	49.0	103.0	0.0	244932.0	4869086.0	58795.0	0	0.0	7386381.0	16992	0.01	0.23	25.49	1882984.0	1886.0	558524	0.8
SLX-14347.D705_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.78	253534.0	1705.0	1.5	1.73	7.64	49.11	0.01	0.58	49.0	101.0	0.0	249798.0	4960893.0	59455.0	0	0.0	7541683.0	17345	0.01	0.23	25.56	1927838.0	1930.0	576152	0.79
SLX-14347.D706_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	64.21	355976.0	1987.0	1.45	1.66	4.6	49.08	0.01	0.82	49.0	145.0	0.0	351935.0	7395107.0	154414.0	0	0.0	11516498.0	26449	0.0	0.23	29.62	3411538.0	1909.0	528990	1.34
SLX-14347.D706_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	64.14	365213.0	2051.0	1.47	1.66	4.61	49.09	0.01	0.82	49.0	158.0	0.0	361149.0	7613071.0	160601.0	0	0.0	11868801.0	27311	0.0	0.23	29.66	3520408.0	1855.0	547410	1.35
SLX-14347.D706_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	63.0	149053.0	795.0	1.46	1.57	5.8	49.1	0.01	1.0	49.0	69.0	0.0	147256.0	5524737.0	72707.0	0	0.0	8769466.0	27196	0.0	0.31	30.06	2635990.0	933.0	508836	0.83
SLX-14347.D706_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	62.91	153458.0	877.0	1.46	1.56	5.85	49.12	0.01	0.99	49.0	69.0	0.0	151533.0	5710412.0	75710.0	0	0.0	9076466.0	28135	0.0	0.31	30.09	2731273.0	979.0	530936	0.83
SLX-14347.D706_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	62.98	209860.0	1468.0	1.46	1.63	6.73	49.08	0.01	0.93	49.0	111.0	0.0	206775.0	5946658.0	55282.0	0	0.0	9442230.0	22645	0.0	0.24	29.47	2782633.0	1506.0	635012	0.59
SLX-14347.D706_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	62.9	218189.0	1488.0	1.47	1.63	6.78	49.1	0.01	0.92	49.0	110.0	0.0	215043.0	6145850.0	57393.0	0	0.0	9770120.0	23432	0.0	0.24	29.49	2881494.0	1548.0	661951	0.59
SLX-14347.D707_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	70.74	591398.0	3614.0	1.46	1.67	4.31	49.04	0.01	0.56	49.0	233.0	0.0	584333.0	8188553.0	216363.0	0	0.0	11575605.0	21993	0.0	0.19	22.89	2649808.0	3218.0	498888	1.87
SLX-14347.D707_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	70.72	617220.0	3732.0	1.46	1.67	4.29	49.06	0.01	0.56	49.0	232.0	0.0	609914.0	8546215.0	226587.0	0	0.0	12084079.0	24178	0.0	0.2	22.91	2768488.0	3342.0	518611	1.88
SLX-14347.D707_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	59.35	282183.0	1802.0	1.48	1.67	9.52	49.1	0.01	0.54	49.0	134.0	0.0	278367.0	4959516.0	77344.0	0	0.0	8355763.0	17556	0.0	0.21	29.99	2505497.0	1880.0	795850	0.93
SLX-14347.D707_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	59.23	294976.0	1856.0	1.47	1.67	9.69	49.12	0.01	0.53	49.0	133.0	0.0	291210.0	5184279.0	81645.0	0	0.0	8752750.0	18394	0.0	0.21	29.93	2619700.0	1777.0	848732	0.93
SLX-14347.D707_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	60.86	297767.0	1788.0	1.47	1.63	4.43	49.11	0.01	0.7	49.0	120.0	0.0	293639.0	7205115.0	107247.0	0	0.0	11839408.0	29592	0.0	0.25	33.56	3973082.0	2220.0	524372	0.91
SLX-14347.D707_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	60.76	310382.0	1941.0	1.46	1.64	4.44	49.13	0.01	0.7	49.0	123.0	0.0	305955.0	7470843.0	111586.0	0	0.0	12295914.0	30705	0.0	0.25	33.65	4137456.0	2363.0	545324	0.91
SLX-14347.D708_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	66.44	498498.0	3033.0	1.48	1.63	4.24	49.06	0.01	0.61	49.0	189.0	0.0	492486.0	7971671.0	159994.0	0	0.0	11998926.0	24022	0.0	0.2	27.79	3333980.0	2790.0	509259	1.33
SLX-14347.D708_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	66.39	513273.0	3303.0	1.46	1.65	4.25	49.07	0.01	0.61	49.0	225.0	0.0	506832.0	8177869.0	165309.0	0	0.0	12317755.0	24632	0.0	0.2	27.82	3426525.0	2913.0	523420	1.34
SLX-14347.D708_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	60.57	317841.0	1778.0	1.48	1.65	5.7	49.11	0.01	0.52	49.0	117.0	0.0	314192.0	5562707.0	123954.0	0	0.0	9184542.0	19272	0.0	0.21	32.18	2955508.0	1754.0	523101	1.35
